epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.076220,0.124249,0.909905,0.953280,0,0,936,4540,00:06
1,0.079153,0.157553,0.896686,0.945920,0,0,22,5406,00:06
2,0.093649,0.220212,0.875867,0.942080,0,0,0,5428,00:06
3,0.099034,0.195530,0.882524,0.942560,0,0,0,5428,00:06
4,0.095609,0.168257,0.879143,0.939840,0,0,0,5428,00:06
5,0.084172,0.132733,0.913276,0.955040,0,0,0,5428,00:06
6,0.077567,0.116611,0.913505,0.960000,0,0,0,5428,00:06
7,0.066716,0.112668,0.923772,0.963520,0,0,0,5428,00:06
8,0.058154,0.111303,0.923638,0.962080,0,0,0,5428,00:06
9,0.050339,0.112072,0.923772,0.963520,0,0,0,5428,00:06
